Matchwood township                   | Ontonagon      |         94
Bois Blanc township                  | Mackinac       |         95
Newark township                      | Gratiot        |       1093
Vassar township                      | Tuscola        |       4093
Westland city                        | Wayne          |      84094
Carson City city                     | Montcalm       |       1093
Manistique city                      | Schoolcraft    |       3097
Manistique township                  | Schoolcraft    |       1095
Sims township                        | Arenac         |       1095
Selma township                       | Wexford        |       2093
Sylvan township                      | Osceola        |       1099
Wilcox township                      | Newaygo        |       1098
Fremont township                     | Saginaw        |       2096
Sherwood township                    | Branch         |       2094
Medina township                      | Lenawee        |       1090
Clayton township                     | Arenac         |       1097
Boyne Valley township                | Charlevoix     |       1195
Enterprise township                  | Missaukee      |        194
Harbor Springs city                  | Emmet          |       1194
Torch Lake township                  | Antrim         |       1194
Oronoko charter township             | Berrien        |       9193
Owosso city                          | Shiawassee     |      15194
Central Lake township                | Antrim         |       2198
Cheshire township                    | Allegan        |       2199
Greenbush township                   | Clinton        |       2199
Fraser township                      | Bay            |       3192
Traverse City city                   | Leelanau       |        192
Loud township                        | Montmorency    |        293
Aetna township                       | Mecosta        |       2299
Nester township                      | Roscommon      |        295
Roseville city                       | Macomb         |      47299
Rush township                        | Shiawassee     |       1291
Berlin charter township              | Monroe         |       9299
Ferry township                       | Oceana         |       1292
Portage city                         | Kalamazoo      |      46292
Mills township                       | Ogemaw         |       4291
Moltke township                      | Presque Isle   |        296
Lake Angelus city                    | Oakland        |        290
Bridgman city                        | Berrien        |       2291
Chester township                     | Otsego         |       1292
Green charter township               | Mecosta        |       3292
Champion township                    | Marquette      |        297
Grant township                       | Newaygo        |       3294
Peaine township                      | Charlevoix     |        292
McKinley township                    | Emmet          |       1297
Dover township                       | Lake           |        395
Blue Lake township                   | Muskegon       |       2399
Mount Forest township                | Bay            |       1392
Wise township                        | Isabella       |       1397
Carlton township                     | Barry          |       2391
Marilla township                     | Manistee       |        393
Goodar township                      | Ogemaw         |        398
Fennville city                       | Allegan        |       1398
Ionia city                           | Ionia          |      11394
Orion charter township               | Oakland        |      35394
Cherry Valley township               | Lake           |        396
Sheridan township                    | Mecosta        |       1393
Elba township                        | Gratiot        |       1396
Wixom city                           | Oakland        |      13498
Novesta township                     | Tuscola        |       1491
Corunna city                         | Shiawassee     |       3497
Harrisville city                     | Alcona         |        493
Northville township                  | Wayne          |      28497
Bingham township                     | Leelanau       |       2497
Kinderhook township                  | Branch         |       1497
Nahma township                       | Delta          |        495
Breen township                       | Dickinson      |        499
Hudson township                      | Lenawee        |       1497
Mackinac Island city                 | Mackinac       |        492
Richland township                    | Missaukee      |       1491
Adams township                       | Hillsdale      |       2493
Peacock township                     | Lake           |        492
Wayne city                           | Wayne          |      17593
Fruitport charter township           | Muskegon       |      13598
Bath charter township                | Clinton        |      11598
Otsego township                      | Allegan        |       5594
West Branch township                 | Ogemaw         |       2593
Cornell township                     | Delta          |        593
Maple Grove township                 | Barry          |       1593
Menominee city                       | Menominee      |       8599
Reno township                        | Iosco          |        590
Ellis township                       | Cheboygan      |        596
Imlay City city                      | Lapeer         |       3597
Niles city                           | Berrien        |      11599
Whitewater township                  | Grand Traverse |       2597
